date,time,split,day,exercise,setNumber,weight,reps,rir,notes
2026-03-30,18:35,PPLs,Push A,Incline Dumbbell Press,2,85,8,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Incline Dumbbell Press,3,85,6,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Incline Dumbbell Press,4,80,6,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Flat Machine Chest Press,1,192,12,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did dips last.
2026-03-30,18:35,PPLs,Push A,Flat Machine Chest Press,2,192,8,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=12] Did dips last.
2026-03-30,18:35,PPLs,Push A,Flat Machine Chest Press,3,160,8,1,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Did dips last.
2026-03-30,18:35,PPLs,Push A,Weighted Chest Dips,1,0,7,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Weighted Chest Dips,2,80,10,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Single Arm Tricep Extensions,1,27,12,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Single Arm Tricep Extensions,2,27,11,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Single Arm Tricep Extensions,3,27,10,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Pronated Triceps Pushdowns,1,44,13,0,Did dips last.
2026-03-30,18:35,PPLs,Push A,Pronated Triceps Pushdowns,2,38,16,2,Did dips last.
2026-03-31,17:23,PPLs,Pull B,Heavy Seated Cable Row,1,165,8,2,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Heavy Seated Cable Row,2,165,8,1,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Heavy Seated Cable Row,3,165,8,0,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Heavy Seated Cable Row,4,165,6,0,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Lat Pulldown,1,143,10,0,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Lat Pulldown,2,131,10,0,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Lat Pulldown,3,151,10,0,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Preacher Curls,1,55,10,1,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Preacher Curls,2,50,10,1,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Preacher Curls,3,50,10,1,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Hammer Curls,1,40,11,2,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Hammer Curls,2,40,10,2,Did preacher after hammer curls and it was the preacher machine.
2026-03-31,17:23,PPLs,Pull B,Hammer Curls,3,40,10,0,Did preacher after hammer curls and it was the preacher machine.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,1,90,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,2,90,8,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,3,90,7,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,1,180,10,2,[plate_meta p45=1;p35=1;p25=0;p10=1;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,2,180,10,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,3,180,8,1,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,1,43,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,2,40,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,High to Low Cable Fly,3,33,15,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Duel Cable Extension,1,23,12,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Duel Cable Extension,2,23,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,1,27,17,3,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,2,30,12,1,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Triceps Pushdowns,3,30,9,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,1,90,10,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,2,90,8,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Flat Dumbbell Press,3,90,7,0,Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,1,180,10,2,[plate_meta p45=1;p35=1;p25=0;p10=1;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,2,180,10,0,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
2026-04-02,17:54,PPLs,Push B,Decline Machine Press,3,180,8,1,[plate_meta p45=2;p35=0;p25=0;p10=0;sled=0] Did push downs before overhead. Push downs were single arm dual column and extensions were katana.
