date,time,split,day,notes
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-12,19:21,PPLs,Legs + Shoulders,
2026-03-13,15:03,PPLs,Push B,
2026-03-13,15:03,PPLs,Push B,
2026-03-13,15:03,PPLs,Push B,
2026-03-13,15:03,PPLs,Push B,
2026-03-13,15:03,PPLs,Push B,
2026-03-13,15:03,PPLs,Push B,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-16,19:19,PPLs,Push A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-17,16:58,PPLs,Pull A,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-18,17:13,PPLs,Legs + Shoulders,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-19,18:29,PPLs,Push B,
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Did hammer before preacher
2026-03-23,17:01,PPLs,Push A,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
